



mierdaseca  ->  shit  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}
pataliebre  ->  pataliebre  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
maricon  ->  fagot  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
giraesquinas  ->  giraesquinas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mastuerzo  ->  cress  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
bocabuzon  ->  bucabuzon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lamecharcos  ->  lamecharcos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ceporro  ->  brush  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
adufe  ->  adufe  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
calientahielos  ->  ice heater  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pinchauvas  ->  pinchauvas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pamplinas  ->  pamplinas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tarado  ->  pervert  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}
bocallanta  ->  bocallanta  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
caraflema  ->  caraflema  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zascandil  ->  zascandil  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tragaldabas  ->  tragaldabas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
patan  ->  pattern  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
rebañasandias  ->  Andean flocks  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pocasluces  ->  pocasluces  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
soplabergas  ->  blowers  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cazurro  ->  cazurro  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
bellaco  ->  bellaco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
berzotas  ->  rubbed  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tunante caracaballo  ->  rascal caracaballo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
chupoptero  ->  chupptero  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
comechapas  ->  comechapas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cansalmas  ->  cansalmas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cebollino  ->  chive  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tontaco  ->  tontaco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cagalindes  ->  shit  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}
zangano  ->  obviously  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
besugo  ->  besugo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sanguijuela  ->  sanguijuela  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cachivache  ->  Cachivache  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
vendehumos  ->  vendehumos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cernicalo  ->  cernicalo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gandul  ->  thought  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
percebe  ->  realize  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
chiquilicuatre  ->  chiquilicuatre  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
fariseo  ->  fariseo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
donnadie  ->  donnadie  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mamporrero  ->  mamporrero  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
escornacabras  ->  scrapbooking  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
arrastracueros  ->  creepers  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelma  ->  tread  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cenizo  ->  cenizo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
comeflores  ->  eat flowers  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
revientabaules  ->  revientabaules  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
bobalicon  ->  bobalicon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zarrapastroso  ->  scourge  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
majadero  ->  pestle  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cartulina  ->  cardboard  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cagarruta  ->  pearl  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
robaperas  ->  robaperas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cabestro  ->  halter  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cabeza alberca  ->  pool head  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
picapleitos  ->  picapleitos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lumbreras  ->  lumbreras  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
barriobajero  ->  neighborhood  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mendrugo  ->  mendrugo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pollopera  ->  pollopera  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
malasombra  ->  shadowy  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
chupasangre  ->  Hiding place  ->  {'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}
fantoche  ->  puppet  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lameplatos  ->  lameplatos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
petimetre  ->  pesimeters  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pasmarote  ->  pasmarote  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mangarran  ->  Mangaran  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mangurrian  ->  Mangurian  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cafre  ->  cafre  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
feminazi  ->  feminazi  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
puto  ->  fucking  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pardillo  ->  pardillo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pasmasuegras  ->  pasmasuegras  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
carapapa  ->  Karpapa  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
cartuli  ->  cartuli  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
carajote  ->  carajote  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sinsustancia  ->  nonsubstance  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pitofloro  ->  pitofloro  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gorrino  ->  gorrino  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
huelegateras  ->  huelegateras  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gabacho  ->  gabacho  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lambon  ->  lambon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
dondiego  ->  Mr. Diego  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pechugona  ->  Busty  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gaznapiro  ->  gaznapiro  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tontucio  ->  tontu  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
abanto  ->  abanto  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
borrico  ->  borrico  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
comestacas  ->  comands  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
malasangre  ->  malasangre  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
carapijo  ->  carapijo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
boquimuelle  ->  boquimuelle  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
soplaguindas  ->  blowing  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ovejo  ->  this one  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
imbecil  ->  asshole  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
metemuertos  ->  metemuertos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
eunuco  ->  eunuch  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
piruja  ->  piruja  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
paleto  ->  palette  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
niñato  ->  baby  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
calzamonas  ->  calzamonas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
chirimbaina  ->  Land Limba Ina  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelazarzas  ->  pelazarzas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
morlaco  ->  morlaco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tordo  ->  tordo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
calamidad  ->  calamity  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
longanizas  ->  sausages  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelagallos  ->  pelagallos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zote  ->  all  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
estulto  ->  bundle  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
fulastre  ->  fulastre  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sacamuelas  ->  Sakamuelas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
altapendeja  ->  altapendeja  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sonso  ->  Sonosu  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zambombo  ->  zambombo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gorrumino  ->  muffin  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
habahela  ->  Haba River  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tocho  ->  billet  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
belloto  ->  belloto  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
orate  ->  orate  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zamacuco  ->  culture  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
mamon  ->  mamon  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
artaban  ->  artaban  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pillavispas  ->  Pillavispas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
guitarro  ->  guitar  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
lloramigas  ->  lloramigas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
maganto  ->  realize  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
manegueta  ->  mute  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
matacandiles  ->  matacandiles  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ganapio  ->  ganapio  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
gurriato  ->  gurriato  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
esbaratabailes  ->  esbaratabailes  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pitañoso  ->  rheumy  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tiralevitas  ->  tiralevitas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ganapan  ->  Singing  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tonto  ->  tonto  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
metijaco  ->  metijaco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pavitonto  ->  pavement  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sonajas  ->  rattles  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sosco  ->  sosco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
desgarracalzas  ->  tear  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
letrin  ->  letrin  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
papirote  ->  papirote  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
rastrapajo  ->  Rastrapjo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
sinentraero  ->  sinentraero  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
tagarote  ->  Please  ->  {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}
escolimoso  ->  scoundrel  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
filimincias  ->  filimincias  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
panarra  ->  panarra  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
rieleches  ->  rieleches  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zamugo  ->  household  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
andurriasmo  ->  andurriasmo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
barrabas  ->  barrabas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
calambuco  ->  calambuco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
calduo  ->  calduo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
