texto;toxico;num_admir;num_may;num_may_esc;series_token;emojis;num_emoji;num_insultos;dir_23ps;score_emoji_tox;enfasis
Pero qué dice este parguela??? ;1;0;0;0.0;['Pero', 'qué', 'dice', 'este', 'parguela', '?', '?', '?'];;0;0;1;0.0;0.0
Ta resentido o subnormal. *5 minutos despues*.;1;0;0;0.0;['Ta', 'resentido', 'o', 'subnormal', '.', '*5', 'minutos', 'despues*', '.'];;0;0;1;0.0;0.0
Menudo subnormal este tipejo de mierda;1;0;0;0.0;['Menudo', 'subnormal', 'este', 'tipejo', 'de', 'mierda'];;0;0;1;0.0;0.0
"El compañero presidente opina otra cosa; Subnormal";1;0;0;0.0;"['El', 'compañero', 'presidente', 'opina', 'otra', 'cosa', ';', 'Subnormal']";;0;0;1;0.0;0.0
tornado Subnormal;1;0;0;0.0;['tornado', 'Subnormal'];;0;0;0;0.0;0.0
Hernando Rafa, ¿eres subnormal?;1;0;0;0.0;['Hernando', 'Rafa', ',', '¿eres', 'subnormal', '?'];;0;0;1;0.0;0.0
MB98 Seguro que y luego unas risas, esas respuestas son de gilipollas, te vas silenciado por subnormal;1;0;0;0.0;['MB98', 'Seguro', 'que', 'y', 'luego', 'unas', 'risas', ',', 'esas', 'respuestas', 'son', 'de', 'gilipollas', ',', 'te', 'vas', 'silenciado', 'por', 'subnormal'];;0;0;1;0.0;0.0
es El derecho a ser subnormal, dice?;1;0;0;0.0;['es', 'El', 'derecho', 'a', 'ser', 'subnormal', ',', 'dice', '?'];;0;0;1;0.0;0.0
Jajajjaja... Que haya VAR y este undiano mallenco, hernandez hernandez, obrebo, Stark y Aytekin!!! Menudo subnormal estas hecho chaval!!!;1;6;1;0.05263157894736842;['Jajajjaja', '...', 'Que', 'haya', 'VAR', 'y', 'este', 'undiano', 'mallenco', ',', 'hernandez', 'hernandez', ',', 'obrebo', ',', 'Stark', 'y', 'Aytekin', '!', '!', '!', 'Menudo', 'subnormal', 'estas', 'hecho', 'chaval', '!', '!', '!'];;0;0;1;0.0;6.052631578947368
Beltraa Ya te dije ahí arriba que no estaba justificando el abandono jajajajaja te encanta desvirtuar lo que dice el otro a ver si ganas la discusión. Posta dedícate a la política porque podés ganar debates, hay mucho subnormal en podios;1;0;0;0.0;['Beltraa', 'Ya', 'te', 'dije', 'ahí', 'arriba', 'que', 'no', 'estaba', 'justificando', 'el', 'abandono', 'jajajajaja', 'te', 'encanta', 'desvirtuar', 'lo', 'que', 'dice', 'el', 'otro', 'a', 'ver', 'si', 'ganas', 'la', 'discusión', '.', 'Posta', 'dedícate', 'a', 'la', 'política', 'porque', 'podés', 'ganar', 'debates', ',', 'hay', 'mucho', 'subnormal', 'en', 'podios'];;0;0;1;0.0;0.0
griego82 Refiriéndome al subnormal del portavoz de voz;1;0;0;0.0;['griego82', 'Refiriéndome', 'al', 'subnormal', 'del', 'portavoz', 'de', 'voz'];;0;0;0;0.0;0.0
Fran Pardo un subnormal y está muy bien que nadie lo dude;1;0;0;0.0;['Fran', 'Pardo', 'un', 'subnormal', 'y', 'está', 'muy', 'bien', 'que', 'nadie', 'lo', 'dude'];;0;0;1;0.0;0.0
Posss si hay gente tan subnormal qué crees que esa es manera de crecer;1;0;0;0.0;['Posss', 'si', 'hay', 'gente', 'tan', 'subnormal', 'qué', 'crees', 'que', 'esa', 'es', 'manera', 'de', 'crecer'];;0;0;1;0.0;0.0
seré subnormal pero no tengo un avatar de anime;1;0;0;0.0;['seré', 'subnormal', 'pero', 'no', 'tengo', 'un', 'avatar', 'de', 'anime'];;0;0;0;0.0;0.0
Sólo llevo 3 meses conduciendo y ya sé que amo conducir y que odio al subnormal que va pegado al culo del coche todo el camino. Separatecabrón 😒;1;0;0;0.0;['Sólo', 'llevo', '3', 'meses', 'conduciendo', 'y', 'ya', 'sé', 'que', 'amo', 'conducir', 'y', 'que', 'odio', 'al', 'subnormal', 'que', 'va', 'pegado', 'al', 'culo', 'del', 'coche', 'todo', 'el', 'camino', '.', 'Separatecabrón', '😒'];😒;1;0;1;0.753;0.0
A ver subnormal, ¿por eso dices que hay que cerrarla? Mejor hacer como otros países europeos y creernos la radiotelevisión pública un poco más. No se consigue nada cerrando. Te lo dice un valenciano, que aquí nos quedamos sin rtv pública y fue un desastre.;1;0;0;0.0;['A', 'ver', 'subnormal', ',', '¿por', 'eso', 'dices', 'que', 'hay', 'que', 'cerrarla', '?', 'Mejor', 'hacer', 'como', 'otros', 'países', 'europeos', 'y', 'creernos', 'la', 'radiotelevisión', 'pública', 'un', 'poco', 'más', '.', 'No', 'se', 'consigue', 'nada', 'cerrando', '.', 'Te', 'lo', 'dice', 'un', 'valenciano', ',', 'que', 'aquí', 'nos', 'quedamos', 'sin', 'rtv', 'pública', 'y', 'fue', 'un', 'desastre', '.'];;0;0;1;0.0;0.0
Algunos diciendo que son horribles , le tienen que gustar a el no a ti subnormal . Estan guapisimos kami a ver como te queda la manga cuando la acabes;1;0;0;0.0;['Algunos', 'diciendo', 'que', 'son', 'horribles', ',', 'le', 'tienen', 'que', 'gustar', 'a', 'el', 'no', 'a', 'ti', 'subnormal', '.', 'Estan', 'guapisimos', 'kami', 'a', 'ver', 'como', 'te', 'queda', 'la', 'manga', 'cuando', 'la', 'acabes'];;0;0;1;0.0;0.0
Que se puede esperar de una familia disfuncional, un padre alcohólico, una madre con hijos bastardos, un hijo subnormal y ahora esto ! En que manos estaba el país, y aún mucho idiota salen con su mamada que el alcohólico fue un gran presidente, no mamen;1;1;0;0.0;['Que', 'se', 'puede', 'esperar', 'de', 'una', 'familia', 'disfuncional', ',', 'un', 'padre', 'alcohólico', ',', 'una', 'madre', 'con', 'hijos', 'bastardos', ',', 'un', 'hijo', 'subnormal', 'y', 'ahora', 'esto', '!', 'En', 'que', 'manos', 'estaba', 'el', 'país', ',', 'y', 'aún', 'mucho', 'idiota', 'salen', 'con', 'su', 'mamada', 'que', 'el', 'alcohólico', 'fue', 'un', 'gran', 'presidente', ',', 'no', 'mamen'];;0;0;1;0.0;1.0
"Acaba de llegarme un memento del Corpus ayer; resulta que una niña de 13 años empezó a insultarme llamándome subnormal, esto me da que pensar que, a lo mejor la sociedad avanza demasiado rápido, yo a esa edad ni le levantaba la mirada a alguien 4 años mayor; en fin...";1;0;0;0.0;"['Acaba', 'de', 'llegarme', 'un', 'memento', 'del', 'Corpus', 'ayer', ';', 'resulta', 'que', 'una', 'niña', 'de', '13', 'años', 'empezó', 'a', 'insultarme', 'llamándome', 'subnormal', ',', 'esto', 'me', 'da', 'que', 'pensar', 'que', ',', 'a', 'lo', 'mejor', 'la', 'sociedad', 'avanza', 'demasiado', 'rápido', ',', 'yo', 'a', 'esa', 'edad', 'ni', 'le', 'levantaba', 'la', 'mirada', 'a', 'alguien', '4', 'años', 'mayor', ';', 'en', 'fin', '...']";;0;0;1;0.0;0.0
La playa es la solución pa todo;1;0;0;0.0;['La', 'playa', 'es', 'la', 'solución', 'pa', 'todo'];;0;0;1;0.0;0.0
En un lugar cerca de la playa, me gusta cómo huele. ;0;0;0;0.0;['En', 'un', 'lugar', 'cerca', 'de', 'la', 'playa', ',', 'me', 'gusta', 'cómo', 'huele', '.'];;0;0;0;0.0;0.0
tierra trágame y escúpeme donde haya sol, playa y arena;0;0;0;0.0;['tierra', 'trágame', 'y', 'escúpeme', 'donde', 'haya', 'sol', ',', 'playa', 'y', 'arena'];;0;0;1;0.0;0.0
Y cuando vas a la playa?;0;0;0;0.0;['Y', 'cuando', 'vas', 'a', 'la', 'playa', '?'];;0;0;0;0.0;0.0
Se ha quedaO día de playa ;0;0;1;0.16666666666666666;['Se', 'ha', 'quedaO', 'día', 'de', 'playa'];;0;0;0;0.0;0.16666666666666666
si hay playa, hay alcohol ;0;0;0;0.0;['si', 'hay', 'playa', ',', 'hay', 'alcohol'];;0;0;0;0.0;0.0
Todos esperándome en la playa y yo en mi cama;0;0;0;0.0;['Todos', 'esperándome', 'en', 'la', 'playa', 'y', 'yo', 'en', 'mi', 'cama'];;0;0;1;0.0;0.0
ojalá celebrar mi santo en la playa al lado de una fogata con mis amigos nochedesanjuan;0;0;0;0.0;['ojalá', 'celebrar', 'mi', 'santo', 'en', 'la', 'playa', 'al', 'lado', 'de', 'una', 'fogata', 'con', 'mis', 'amigos', 'nochedesanjuan'];;0;0;1;0.0;0.0
El carabinero es muy muy potente. Sabe a “ahogadillas” en la playa cuando éramos chicos. A mar.;0;0;0;0.0;['El', 'carabinero', 'es', 'muy', 'muy', 'potente', '.', 'Sabe', 'a', '“', 'ahogadillas', '”', 'en', 'la', 'playa', 'cuando', 'éramos', 'chicos', '.', 'A', 'mar', '.'];;0;0;1;0.0;0.0
no haré más nada.. q el tiempo diga todo;0;0;0;0.0;['no', 'haré', 'más', 'nada..', 'q', 'el', 'tiempo', 'diga', 'todo'];;0;0;0;0.0;0.0
Hola, después de tanto tiempo puedo decir que realmente estoy feliz.;0;0;0;0.0;['Hola', ',', 'después', 'de', 'tanto', 'tiempo', 'puedo', 'decir', 'que', 'realmente', 'estoy', 'feliz', '.'];;0;0;1;0.0;0.0
Tal vez fumando te encuentre en el tiempo y otra vez por mis ojos vuelvas a entrar como el sol;0;0;0;0.0;['Tal', 'vez', 'fumando', 'te', 'encuentre', 'en', 'el', 'tiempo', 'y', 'otra', 'vez', 'por', 'mis', 'ojos', 'vuelvas', 'a', 'entrar', 'como', 'el', 'sol'];;0;0;0;0.0;0.0
Que haga lo que quiera.. Ya tendrá tiempo para arrepentirse. El que no esté comprometido mejor que no venga;0;0;0;0.0;['Que', 'haga', 'lo', 'que', 'quiera..', 'Ya', 'tendrá', 'tiempo', 'para', 'arrepentirse', '.', 'El', 'que', 'no', 'esté', 'comprometido', 'mejor', 'que', 'no', 'venga'];;0;0;1;0.0;0.0
Nikola Tesla y su Viaje en el Tiempo: Vi el pasado, el presente y el fu...  Vía;0;0;0;0.0;['Nikola', 'Tesla', 'y', 'su', 'Viaje', 'en', 'el', 'Tiempo', ':', 'Vi', 'el', 'pasado', ',', 'el', 'presente', 'y', 'el', 'fu', '...', 'Vía'];;0;0;1;0.0;0.0
Necesito de esos abrazos que te paran el tiempo y te hacen sentir en paz.;0;0;0;0.0;['Necesito', 'de', 'esos', 'abrazos', 'que', 'te', 'paran', 'el', 'tiempo', 'y', 'te', 'hacen', 'sentir', 'en', 'paz', '.'];;0;0;1;0.0;0.0
Fuiste la forma más bonita de perder mi tiempo;0;0;0;0.0;['Fuiste', 'la', 'forma', 'más', 'bonita', 'de', 'perder', 'mi', 'tiempo'];;0;0;0;0.0;0.0
Heras Hace tiempo q Alves se fumó a Cafú y sobre todo a Lahm;0;0;0;0.0;['Heras', 'Hace', 'tiempo', 'q', 'Alves', 'se', 'fumó', 'a', 'Cafú', 'y', 'sobre', 'todo', 'a', 'Lahm'];;0;0;1;0.0;0.0
tienen wifi por antena para casa rural?;0;0;0;0.0;['tienen', 'wifi', 'por', 'antena', 'para', 'casa', 'rural', '?'];;0;0;0;0.0;0.0
Esta semana en recomendamos Casa Rural Lagar de Palacio en Santa Cilia Un lugar ideal para pasar unos días de diversión y aventura a la vez que de la tranquilidad que su entorno ofrece al estar situada a los pies del Río Aragón. La casa, de... ;0;0;0;0.0;['Esta', 'semana', 'en', 'recomendamos', 'Casa', 'Rural', 'Lagar', 'de', 'Palacio', 'en', 'Santa', 'Cilia', 'Un', 'lugar', 'ideal', 'para', 'pasar', 'unos', 'días', 'de', 'diversión', 'y', 'aventura', 'a', 'la', 'vez', 'que', 'de', 'la', 'tranquilidad', 'que', 'su', 'entorno', 'ofrece', 'al', 'estar', 'situada', 'a', 'los', 'pies', 'del', 'Río', 'Aragón', '.', 'La', 'casa', ',', 'de', '...'];;0;0;1;0.0;0.0
Sortean un fin de semana en Finca Goleta, otro en Casa Rural A Pasada y un vale de 40€ en actividades de . Tienes que participar en un Trivial que está disponible en todos los dispositivos a través del sitio web  sorteo. ;0;0;0;0.0;['Sortean', 'un', 'fin', 'de', 'semana', 'en', 'Finca', 'Goleta', ',', 'otro', 'en', 'Casa', 'Rural', 'A', 'Pasada', 'y', 'un', 'vale', 'de', '40€', 'en', 'actividades', 'de', '.', 'Tienes', 'que', 'participar', 'en', 'un', 'Trivial', 'que', 'está', 'disponible', 'en', 'todos', 'los', 'dispositivos', 'a', 'través', 'del', 'sitio', 'web', 'sorteo', '.'];;0;0;1;0.0;0.0
Hoy disfrutamos del domingo desde un lugar ideal, descansando en medio de un ambiente que combina lo natural con el mundo rural 😍 ¡Hoy estamos en Casa Aurora! Fuerteventura 🌴 ;0;1;0;0.0;['Hoy', 'disfrutamos', 'del', 'domingo', 'desde', 'un', 'lugar', 'ideal', ',', 'descansando', 'en', 'medio', 'de', 'un', 'ambiente', 'que', 'combina', 'lo', 'natural', 'con', 'el', 'mundo', 'rural', '😍', '¡Hoy', 'estamos', 'en', 'Casa', 'Aurora', '!', 'Fuerteventura', '🌴'];😍 🌴;2;0;1;0.0445;1.0
